Account Number,Description,Draft, Adjustment, Final
6000,Salary and Benefits,1382557.31,0,1382557.31
6010,Provident fund&Pension Cont.e,97846,0,97846
6020,Hotel accomudation,1816.57,0,1816.57
6030,Bank Charge,4270.53,0,4270.53
6040,License renewal & registration,2224,0,2224
6050,Printing and Stationery,43004.85,0,43004.85
6060,rent expense,168000,-42000,126000
6070,Transport expense,30924,0,30924
6080,Insurance expense,52712.14,0,52712.14
6090,Telephone charge,62951.42,0,62951.42
6100,Miscellaneouse expense,42349.92,0,42349.92
6130,Professional fee,29606,0,29606
6150,Fuel And Lubricant,104600.97,0,104600.97
6200,Repair and maintenance,67900.51,0,67900.51
6250,Supplies expense,32985.92,0,32985.92
6350,Depreciation Expense,118135.16,0,118135.16
TOTAL,,2241885.3,-42000,2199885.3
